flightNumber,origin,destination,distance,duration,model,speed,MaxCapa
4858,DFW,ORD,802,121,738,400,160
4699,DFW,ORD,802,130,757,380,176
8826,DFW,ORD,802,131,757,380,176
9793,DFW,ORD,802,133,757,380,176
3191,DFW,ORD,802,122,738,400,160
2721,DFW,ORD,802,129,321,400,181
3643,DFW,ORD,802,136,757,380,176
5570,DFW,LAX,1234,210,757,380,176
4844,DFW,LAX,1234,208,757,380,176
683,DFW,LAX,1234,198,321,400,181
629,DFW,LAX,1234,201,321,400,181
3033,DFW,LAX,1234,185,738,400,160
4495,DFW,LAX,1234,198,738,400,160
8301,DFW,JFK,1390,219,321,400,181
3588,DFW,JFK,1390,230,757,380,176
1207,DFW,JFK,1390,214,321,400,181
574,DFW,JFK,1390,218,321,400,181
5477,DFW,JFK,1390,225,321,400,181
1078,DFW,JFK,1390,210,321,400,181
579,DFW,JFK,1390,216,321,400,181
4563,DFW,JFK,1390,232,757,380,176
5977,DFW,JFK,1390,224,757,380,176
7035,DFW,JFK,1390,226,738,400,160
4887,DFW,JFK,1390,223,757,380,176
6081,DFW,JFK,1390,236,757,380,176
5952,JFK,ORD,739,120,757,380,176
3140,JFK,ORD,739,113,321,400,181
141,JFK,ORD,739,119,321,400,181
8950,JFK,ORD,739,121,738,400,160
5088,JFK,ORD,739,124,757,380,176
5365,JFK,ORD,739,111,321,400,181
3773,JFK,ORD,739,126,757,380,176
9105,JFK,ORD,739,111,321,400,181
1831,JFK,ORD,739,121,757,380,176
5438,JFK,ORD,739,111,321,400,181
2327,JFK,ORD,739,115,321,400,181
2043,JFK,ORD,739,112,738,400,160
5378,JFK,ORD,739,127,757,380,176
615,JFK,ORD,739,112,738,400,160
6272,JFK,ORD,739,113,321,400,181
4049,JFK,LAX,2472,383,321,400,181
6443,JFK,LAX,2472,378,738,400,160
8805,JFK,LAX,2472,403,321,400,181
8839,JFK,LAX,2472,400,738,400,160
7812,JFK,LAX,2472,405,321,400,181
4001,JFK,LAX,2472,376,321,400,181
2915,JFK,LAX,2472,385,321,400,181
7510,JFK,LAX,2472,403,757,380,176
3139,JFK,LAX,2472,397,738,400,160
4333,JFK,LAX,2472,421,757,380,176
9593,JFK,LAX,2472,404,321,400,181
1932,JFK,LAX,2472,395,321,400,181
3713,JFK,LAX,2472,374,738,400,160
7464,JFK,DFW,1390,234,757,380,176
6894,JFK,DFW,1390,210,738,400,160
2622,JFK,DFW,1390,223,757,380,176
7060,JFK,DFW,1390,231,757,380,176
3607,JFK,DFW,1390,226,321,400,181
4646,JFK,DFW,1390,226,321,400,181
1788,JFK,DFW,1390,227,757,380,176
5635,JFK,DFW,1390,222,738,400,160
4467,JFK,DFW,1390,230,757,380,176
829,JFK,DFW,1390,220,321,400,181
428,JFK,DFW,1390,214,321,400,181
4552,LAX,ORD,1743,282,757,380,176
4248,LAX,ORD,1743,264,321,400,181
4210,LAX,ORD,1743,266,321,400,181
7054,LAX,ORD,1743,297,757,380,176
9033,LAX,ORD,1743,287,738,400,160
9826,LAX,ORD,1743,270,321,400,181
5388,LAX,ORD,1743,277,321,400,181
328,LAX,ORD,1743,282,757,380,176
5411,LAX,ORD,1743,261,738,400,160
5214,LAX,ORD,1743,286,321,400,181
6728,LAX,ORD,1743,267,321,400,181
650,LAX,ORD,1743,274,321,400,181
4268,LAX,JFK,2472,370,321,400,181
1642,LAX,JFK,2472,383,738,400,160
1682,LAX,JFK,2472,375,738,400,160
3713,LAX,JFK,2472,391,321,400,181
7755,LAX,JFK,2472,389,738,400,160
8005,LAX,JFK,2472,403,738,400,160
165,LAX,JFK,2472,372,738,400,160
4750,LAX,JFK,2472,400,321,400,181
3958,LAX,JFK,2472,403,738,400,160
7398,LAX,JFK,2472,403,321,400,181
8268,LAX,JFK,2472,397,321,400,181
5360,LAX,JFK,2472,376,321,400,181
1670,LAX,DFW,1234,203,738,400,160
6622,LAX,DFW,1234,187,321,400,181
191,LAX,DFW,1234,194,321,400,181
9736,LAX,DFW,1234,201,757,380,176
4194,LAX,DFW,1234,186,321,400,181
9052,LAX,DFW,1234,189,321,400,181
3516,LAX,DFW,1234,188,321,400,181
6745,ORD,LAX,1743,290,757,380,176
1308,ORD,LAX,1743,275,757,380,176
9838,ORD,LAX,1743,290,757,380,176
4951,ORD,LAX,1743,286,321,400,181
8340,ORD,LAX,1743,281,738,400,160
4220,ORD,LAX,1743,262,738,400,160
3245,ORD,LAX,1743,265,321,400,181
631,ORD,LAX,1743,261,321,400,181
93,ORD,LAX,1743,270,738,400,160
3494,ORD,LAX,1743,262,738,400,160
4849,ORD,LAX,1743,280,321,400,181
7802,ORD,LAX,1743,284,321,400,181
4954,ORD,JFK,739,111,738,400,160
8243,ORD,JFK,739,116,738,400,160
1715,ORD,JFK,739,121,757,380,176
3524,ORD,JFK,739,119,738,400,160
7229,ORD,JFK,739,118,321,400,181
4617,ORD,JFK,739,126,757,380,176
2528,ORD,JFK,739,120,757,380,176
5866,ORD,JFK,739,120,757,380,176
1550,ORD,JFK,739,117,738,400,160
6103,ORD,DFW,802,130,738,400,160
859,ORD,DFW,802,127,757,380,176
8758,ORD,DFW,802,134,757,380,176
2221,ORD,DFW,802,128,738,400,160
2467,ORD,DFW,802,127,738,400,160
7845,ORD,DFW,802,121,738,400,160
755,ORD,DFW,802,121,738,400,160
1650,ORD,DFW,802,131,738,400,160
6441,ORD,DFW,802,130,757,380,176
6354,ORD,DFW,802,127,738,400,160
4858,DFW,ORD,802,121,738,400,160
4699,DFW,ORD,802,130,757,380,176
8826,DFW,ORD,802,131,757,380,176
9793,DFW,ORD,802,133,757,380,176
3191,DFW,ORD,802,122,738,400,160
2721,DFW,ORD,802,129,321,400,181
3643,DFW,ORD,802,136,757,380,176
5570,DFW,LAX,1234,210,757,380,176
4844,DFW,LAX,1234,208,757,380,176
683,DFW,LAX,1234,198,321,400,181
629,DFW,LAX,1234,201,321,400,181
3033,DFW,LAX,1234,185,738,400,160
4495,DFW,LAX,1234,198,738,400,160
8301,DFW,JFK,1390,219,321,400,181
3588,DFW,JFK,1390,230,757,380,176
1207,DFW,JFK,1390,214,321,400,181
574,DFW,JFK,1390,218,321,400,181
5477,DFW,JFK,1390,225,321,400,181
1078,DFW,JFK,1390,210,321,400,181
579,DFW,JFK,1390,216,321,400,181
4563,DFW,JFK,1390,232,757,380,176
5977,DFW,JFK,1390,224,757,380,176
7035,DFW,JFK,1390,226,738,400,160
4887,DFW,JFK,1390,223,757,380,176
6081,DFW,JFK,1390,236,757,380,176
5952,JFK,ORD,739,120,757,380,176
3140,JFK,ORD,739,113,321,400,181
141,JFK,ORD,739,119,321,400,181
8950,JFK,ORD,739,121,738,400,160
5088,JFK,ORD,739,124,757,380,176
5365,JFK,ORD,739,111,321,400,181
3773,JFK,ORD,739,126,757,380,176
9105,JFK,ORD,739,111,321,400,181
1831,JFK,ORD,739,121,757,380,176
5438,JFK,ORD,739,111,321,400,181
2327,JFK,ORD,739,115,321,400,181
2043,JFK,ORD,739,112,738,400,160
5378,JFK,ORD,739,127,757,380,176
615,JFK,ORD,739,112,738,400,160
6272,JFK,ORD,739,113,321,400,181
4049,JFK,LAX,2472,383,321,400,181
6443,JFK,LAX,2472,378,738,400,160
8805,JFK,LAX,2472,403,321,400,181
8839,JFK,LAX,2472,400,738,400,160
7812,JFK,LAX,2472,405,321,400,181
4001,JFK,LAX,2472,376,321,400,181
2915,JFK,LAX,2472,385,321,400,181
7510,JFK,LAX,2472,403,757,380,176
3139,JFK,LAX,2472,397,738,400,160
4333,JFK,LAX,2472,421,757,380,176
9593,JFK,LAX,2472,404,321,400,181
1932,JFK,LAX,2472,395,321,400,181
3713,JFK,LAX,2472,374,738,400,160
7464,JFK,DFW,1390,234,757,380,176
6894,JFK,DFW,1390,210,738,400,160
2622,JFK,DFW,1390,223,757,380,176
7060,JFK,DFW,1390,231,757,380,176
3607,JFK,DFW,1390,226,321,400,181
4646,JFK,DFW,1390,226,321,400,181
1788,JFK,DFW,1390,227,757,380,176
5635,JFK,DFW,1390,222,738,400,160
4467,JFK,DFW,1390,230,757,380,176
829,JFK,DFW,1390,220,321,400,181
428,JFK,DFW,1390,214,321,400,181
4552,LAX,ORD,1743,282,757,380,176
4248,LAX,ORD,1743,264,321,400,181
4210,LAX,ORD,1743,266,321,400,181
7054,LAX,ORD,1743,297,757,380,176
9033,LAX,ORD,1743,287,738,400,160
9826,LAX,ORD,1743,270,321,400,181
5388,LAX,ORD,1743,277,321,400,181
328,LAX,ORD,1743,282,757,380,176
5411,LAX,ORD,1743,261,738,400,160
5214,LAX,ORD,1743,286,321,400,181
6728,LAX,ORD,1743,267,321,400,181
650,LAX,ORD,1743,274,321,400,181
4268,LAX,JFK,2472,370,321,400,181
1642,LAX,JFK,2472,383,738,400,160
1682,LAX,JFK,2472,375,738,400,160
3713,LAX,JFK,2472,391,321,400,181
7755,LAX,JFK,2472,389,738,400,160
8005,LAX,JFK,2472,403,738,400,160
165,LAX,JFK,2472,372,738,400,160
4750,LAX,JFK,2472,400,321,400,181
3958,LAX,JFK,2472,403,738,400,160
7398,LAX,JFK,2472,403,321,400,181
8268,LAX,JFK,2472,397,321,400,181
5360,LAX,JFK,2472,376,321,400,181
1670,LAX,DFW,1234,203,738,400,160
6622,LAX,DFW,1234,187,321,400,181
191,LAX,DFW,1234,194,321,400,181
9736,LAX,DFW,1234,201,757,380,176
4194,LAX,DFW,1234,186,321,400,181
9052,LAX,DFW,1234,189,321,400,181
3516,LAX,DFW,1234,188,321,400,181
6745,ORD,LAX,1743,290,757,380,176
1308,ORD,LAX,1743,275,757,380,176
9838,ORD,LAX,1743,290,757,380,176
4951,ORD,LAX,1743,286,321,400,181
8340,ORD,LAX,1743,281,738,400,160
4220,ORD,LAX,1743,262,738,400,160
3245,ORD,LAX,1743,265,321,400,181
631,ORD,LAX,1743,261,321,400,181
93,ORD,LAX,1743,270,738,400,160
3494,ORD,LAX,1743,262,738,400,160
4849,ORD,LAX,1743,280,321,400,181
7802,ORD,LAX,1743,284,321,400,181
4954,ORD,JFK,739,111,738,400,160
8243,ORD,JFK,739,116,738,400,160
1715,ORD,JFK,739,121,757,380,176
3524,ORD,JFK,739,119,738,400,160
7229,ORD,JFK,739,118,321,400,181
4617,ORD,JFK,739,126,757,380,176
2528,ORD,JFK,739,120,757,380,176
5866,ORD,JFK,739,120,757,380,176
1550,ORD,JFK,739,117,738,400,160
6103,ORD,DFW,802,130,738,400,160
859,ORD,DFW,802,127,757,380,176
8758,ORD,DFW,802,134,757,380,176
2221,ORD,DFW,802,128,738,400,160
2467,ORD,DFW,802,127,738,400,160
7845,ORD,DFW,802,121,738,400,160
755,ORD,DFW,802,121,738,400,160
1650,ORD,DFW,802,131,738,400,160
6441,ORD,DFW,802,130,757,380,176
6354,ORD,DFW,802,127,738,400,160
4450,DFW,ORD,802,127,321,400,181
6626,DFW,ORD,802,137,757,380,176
9953,DFW,ORD,802,126,738,400,160
6067,DFW,ORD,802,121,738,400,160
5544,DFW,ORD,802,130,321,400,181
449,DFW,ORD,802,138,757,380,176
9913,DFW,LAX,1234,185,738,400,160
8702,DFW,LAX,1234,189,321,400,181
406,DFW,LAX,1234,188,738,400,160
8737,DFW,LAX,1234,201,757,380,176
498,DFW,LAX,1234,205,757,380,176
9729,DFW,LAX,1234,202,321,400,181
8528,DFW,LAX,1234,190,321,400,181
5734,DFW,LAX,1234,192,738,400,160
7098,DFW,LAX,1234,187,321,400,181
1973,DFW,LAX,1234,201,757,380,176
2583,DFW,LAX,1234,195,738,400,160
9983,DFW,LAX,1234,192,321,400,181
940,DFW,LAX,1234,199,757,380,176
9600,DFW,LAX,1234,185,321,400,181
6129,DFW,JFK,1390,214,738,400,160
4013,DFW,JFK,1390,226,738,400,160
1585,DFW,JFK,1390,238,757,380,176
6331,DFW,JFK,1390,240,757,380,176
322,DFW,JFK,1390,212,321,400,181
9799,DFW,JFK,1390,214,738,400,160
5056,DFW,JFK,1390,235,757,380,176
7872,DFW,JFK,1390,211,321,400,181
1593,DFW,JFK,1390,213,738,400,160
9304,DFW,JFK,1390,225,738,400,160
3444,DFW,JFK,1390,216,738,400,160
1555,JFK,ORD,739,115,738,400,160
44,JFK,ORD,739,113,321,400,181
8905,JFK,ORD,739,117,321,400,181
7503,JFK,ORD,739,121,738,400,160
1521,JFK,ORD,739,111,738,400,160
2098,JFK,ORD,739,121,321,400,181
9530,JFK,ORD,739,121,321,400,181
7760,JFK,ORD,739,113,321,400,181
2526,JFK,ORD,739,123,757,380,176
3978,JFK,ORD,739,119,738,400,160
2881,JFK,LAX,2472,397,738,400,160
5819,JFK,LAX,2472,392,757,380,176
2928,JFK,LAX,2472,404,757,380,176
3437,JFK,LAX,2472,409,757,380,176
524,JFK,LAX,2472,410,757,380,176
5835,JFK,LAX,2472,405,738,400,160
9980,JFK,LAX,2472,381,321,400,181
1300,JFK,LAX,2472,402,757,380,176
9994,JFK,LAX,2472,384,738,400,160
8642,JFK,LAX,2472,371,321,400,181
9779,JFK,LAX,2472,370,321,400,181
7651,JFK,LAX,2472,374,321,400,181
936,JFK,LAX,2472,388,738,400,160
136,JFK,DFW,1390,234,757,380,176
8325,JFK,DFW,1390,213,321,400,181
6680,JFK,DFW,1390,217,738,400,160
9168,JFK,DFW,1390,226,321,400,181
6164,JFK,DFW,1390,209,738,400,160
8383,JFK,DFW,1390,226,757,380,176
8916,JFK,DFW,1390,227,321,400,181
6011,JFK,DFW,1390,222,321,400,181
5316,JFK,DFW,1390,228,738,400,160
5843,JFK,DFW,1390,228,321,400,181
9342,LAX,ORD,1743,296,757,380,176
6101,LAX,ORD,1743,299,757,380,176
2123,LAX,ORD,1743,280,757,380,176
4936,LAX,ORD,1743,287,757,380,176
8572,LAX,ORD,1743,286,738,400,160
4637,LAX,ORD,1743,263,738,400,160
4695,LAX,ORD,1743,262,738,400,160
3515,LAX,ORD,1743,281,738,400,160
4136,LAX,JFK,2472,393,321,400,181
8497,LAX,JFK,2472,386,321,400,181
1461,LAX,JFK,2472,381,321,400,181
3081,LAX,JFK,2472,408,757,380,176
7943,LAX,JFK,2472,407,757,380,176
497,LAX,JFK,2472,371,321,400,181
4862,LAX,JFK,2472,402,738,400,160
5502,LAX,JFK,2472,400,757,380,176
2078,LAX,JFK,2472,425,757,380,176
3734,LAX,JFK,2472,406,738,400,160
5600,LAX,JFK,2472,386,321,400,181
6037,LAX,DFW,1234,187,738,400,160
5880,LAX,DFW,1234,197,738,400,160
3031,LAX,DFW,1234,186,321,400,181
3075,LAX,DFW,1234,191,321,400,181
6105,LAX,DFW,1234,197,757,380,176
3863,LAX,DFW,1234,197,738,400,160
6608,LAX,DFW,1234,203,738,400,160
6519,LAX,DFW,1234,185,321,400,181
3238,LAX,DFW,1234,203,738,400,160
1395,LAX,DFW,1234,192,321,400,181
6444,LAX,DFW,1234,202,757,380,176
6204,LAX,DFW,1234,191,738,400,160
8098,LAX,DFW,1234,199,321,400,181
7031,LAX,DFW,1234,203,757,380,176
2895,ORD,LAX,1743,276,757,380,176
6341,ORD,LAX,1743,276,757,380,176
4922,ORD,LAX,1743,274,321,400,181
1474,ORD,LAX,1743,264,738,400,160
8420,ORD,LAX,1743,261,738,400,160
7116,ORD,LAX,1743,293,757,380,176
231,ORD,LAX,1743,263,321,400,181
6224,ORD,LAX,1743,275,738,400,160
2022,ORD,LAX,1743,288,757,380,176
8864,ORD,LAX,1743,296,757,380,176
6217,ORD,LAX,1743,283,738,400,160
5666,ORD,LAX,1743,263,321,400,181
9496,ORD,LAX,1743,280,321,400,181
3555,ORD,LAX,1743,273,321,400,181
3217,ORD,JFK,739,111,321,400,181
2194,ORD,JFK,739,120,757,380,176
3794,ORD,JFK,739,111,321,400,181
